location,size,total_sqft,bath,price
Electronic City Phase II,2,1056.0,2.0,39.07
Chikka Tirupathi,4,2600.0,5.0,120.0
Uttarahalli,3,1440.0,2.0,62.0
Lingadheeranahalli,3,1521.0,3.0,95.0
Kothanur,2,1200.0,2.0,51.0
Whitefield,2,1170.0,2.0,38.0
Old Airport Road,4,2732.0,4.0,204.0
Rajaji Nagar,4,3300.0,4.0,600.0
Marathahalli,3,1310.0,3.0,63.25
Gandhi Bazar,6,1020.0,6.0,370.0
Whitefield,3,1800.0,2.0,70.0
Whitefield,4,2785.0,5.0,295.0
7th Phase JP Nagar,2,1000.0,2.0,38.0
Gottigere,2,1100.0,2.0,40.0
Sarjapur,3,2250.0,3.0,148.0
Mysore Road,2,1175.0,2.0,73.5
Bisuvanahalli,3,1180.0,3.0,48.0
Raja Rajeshwari Nagar,3,1540.0,3.0,60.0
Ramakrishnappa Layout,3,2770.0,4.0,290.0
Manayata Tech Park,2,1100.0,2.0,48.0
Kengeri,1,600.0,1.0,15.0
Binny Pete,3,1755.0,3.0,122.0
Thanisandra,4,2800.0,5.0,380.0
Bellandur,3,1767.0,3.0,103.0
 Thanisandra,1,510.0,1.0,25.25
Mangammanapalya,3,1250.0,3.0,56.0
Electronic City,2,660.0,1.0,23.1
Whitefield,3,1610.0,3.0,81.0
Ramagondanahalli,2,1151.0,2.0,48.77
Electronic City,3,1025.0,2.0,47.0
Yelahanka,4,2475.0,4.0,186.0
Bisuvanahalli,3,1075.0,2.0,35.0
Hebbal,3,1760.0,2.0,123.0
Raja Rajeshwari Nagar,3,1693.0,3.0,57.39
Kasturi Nagar,3,1925.0,3.0,125.0
Kanakpura Road,2,700.0,2.0,36.0
Electronics City Phase 1,2,1070.0,2.0,45.5
Kundalahalli,3,1724.0,3.0,125.0
Chikkalasandra,3,1290.0,2.0,56.12
Uttarahalli,2,1143.0,2.0,45.0
Murugeshpalya,2,1296.0,2.0,81.0
Sarjapur  Road,3,1254.0,3.0,38.0
Ganga Nagar,1,600.0,1.0,38.0
Yelahanka,1,660.0,1.0,48.0
Kanakpura Road,2,1330.74,2.0,91.79
HSR Layout,8,600.0,9.0,200.0
Doddathoguru,2,970.0,2.0,33.0
Whitefield,2,1459.0,2.0,94.82
KR Puram,2,800.0,1.0,130.0
Himagiri Meadows,2,869.0,2.0,36.0
Adarsh Nagar,2,1270.0,2.0,50.0
Bhoganhalli,3,1670.0,3.0,99.0
Whitefield,3,2010.0,3.0,91.0
Lakshminarayana Pura,2,1185.0,2.0,75.0
Yelahanka,3,1600.0,2.0,75.0
Begur Road,2,1200.0,2.0,44.0
Ramakrishnappa Layout,2,1500.0,2.0,185.0
Murugeshpalya,6,1407.0,4.0,150.0
Govindaraja Nagar Ward,2,840.0,2.0,45.0
Tharabanahalli,3,4395.0,3.0,240.0
Ganga Nagar,2,845.0,2.0,55.0
Whitefield,4,5700.0,5.0,650.0
Varthur,2,1160.0,2.0,44.0
Bommanahalli,8,3000.0,8.0,140.0
Doddathoguru,2,1100.0,2.0,62.0
Gunjur,2,1140.0,2.0,43.0
Marathahalli,2,1220.0,2.0,57.0
Devarachikkanahalli,8,1350.0,7.0,85.0
Kanakpura Road,2,1005.0,2.0,36.68
Double Road,3,500.0,3.0,100.0
Begur Road,2,1358.0,2.0,80.58
Hegde Nagar,3,1569.0,3.0,101.0
Haralur Road,2,1240.0,2.0,70.0
Hennur Road,3,2089.0,3.0,140.0
Kothannur,2,1206.0,2.0,48.23
Kalena Agrahara,2,1150.0,2.0,40.0
Cholanayakanahalli,3,2511.0,3.0,205.0
Kaval Byrasandra,2,460.0,1.0,22.0
ISRO Layout,6,4400.0,6.0,250.0
Kodanda Reddy Layout,3,1660.0,2.0,105.0
Yelahanka,2,1326.0,2.0,78.0
Garudachar Palya,3,1325.0,2.0,60.8
EPIP Zone,3,1499.0,5.0,102.0
Hegde Nagar,6,3000.0,7.0,210.0
Kanakpura Road,3,1665.0,3.0,88.0
Dasanapura,2,708.0,2.0,37.0
Kasavanhalli,2,1060.0,2.0,58.06
Rajaji Nagar,6,710.0,6.0,160.0
Sanjay nagar,2,1000.0,2.0,70.0
Electronic City,2,1000.0,2.0,28.88
 Mysore Highway,3,1450.0,2.0,70.0
ISRO Layout,4,1200.0,4.0,155.0
Thanisandra,2,1296.0,2.0,80.0
Domlur,3,1540.0,3.0,90.0
Kengeri,4,2894.0,4.0,245.0
Sarjapura - Attibele Road,3,1330.0,2.0,48.0
Devasthanagalu,2,1200.0,2.0,65.0
T Dasarahalli,3,1200.0,3.0,90.0
Yeshwanthpur,3,2502.0,3.0,138.0
Chandapura,2,650.0,1.0,17.0
Kothanur,3,2400.0,2.0,150.0
Green View Layout,2,1007.0,2.0,43.0
Shantiniketan Layout,2,1200.0,2.0,50.0
Peenya,2,966.0,2.0,49.9
Nagarbhavi,3,1630.0,2.0,98.0
Rajaji Nagar,3,1640.0,3.0,229.0
Jalahalli West,2,782.0,2.0,55.68
Devanahalli,2,1260.0,2.0,66.78
Lakshmiamma Garden,3,1800.0,3.0,120.0
Byatarayanapura,3,1413.0,2.0,75.0
Whitefield,2,1116.0,2.0,51.91
Electronic City,3,1530.0,2.0,45.9
Ramamurthy Nagar,4,3700.0,4.0,225.0
Sarjapur  Road,3,2497.0,3.0,140.0
Kengeri,3,1540.0,2.0,64.0
Thanisandra,3,1436.0,3.0,74.75
Malleshwaram,2,1100.0,2.0,75.0
Hennur Road,2,276.0,3.0,23.0
Thanisandra,3,1427.0,3.0,120.0
Akshaya Nagar,3,2061.0,3.0,200.0
Hebbal,4,5611.5,4.0,477.0
Shampura,4,2650.0,4.0,150.0
Devanahalli,3,1282.0,2.0,68.52
Kadugodi,2,1050.0,2.0,34.0
LB Shastri Nagar,3,1600.0,3.0,65.0
Vajarahalli,2,945.0,2.0,54.0
Hormavu,2,1500.0,2.0,78.0
Vishwapriya Layout,7,950.0,7.0,115.0
Peenya,3,1870.0,3.0,110.0
Sarjapur,3,1600.0,3.0,75.0
Electronic City,2,880.0,1.0,16.5
Ramaswamy Palya - Kammanahalli Main Road,4,1200.0,4.0,210.0
Kudlu Gate,3,1535.0,3.0,83.0
Kanakpura Road,2,950.0,2.0,57.0
Devanahalli,2,1360.0,2.0,65.0
8th Phase JP Nagar,2,1073.5,2.0,54.005
Bommasandra Industrial Area,3,1280.0,3.0,50.4
Chandra Layout,3,1260.0,2.0,85.05
Hennur Road,8,5000.0,8.0,250.0
Yelahanka,5,3050.0,5.0,213.0
Kasavanhalli,3,1563.05,3.0,105.0
ISRO Layout,2,1000.0,2.0,60.0
Anandapura,2,1167.0,2.0,43.76
Vishveshwarya Layout,7,4000.0,7.0,225.0
Kothanur,3,1828.0,3.0,110.0
Kengeri Satellite Town,2,890.0,2.0,35.0
Basavanapura,3,1612.0,3.0,46.74
Dinnur,6,1034.0,5.0,185.0
Mysore Road,3,1710.0,4.0,91.31
Kannamangala,2,957.0,2.0,58.0
 Devarachikkanahalli,3,1250.0,2.0,44.0
Sanjeevini Nagar,3,2795.0,4.0,235.0
Hulimavu,2,1125.0,2.0,50.0
Electronic City Phase II,2,1020.0,2.0,30.6
Kalena Agrahara,2,1200.0,2.0,50.0
Thanisandra,3,1735.0,3.0,135.0
Thanisandra,3,2050.0,3.0,145.0
Mahalakshmi Layout,4,3750.0,4.0,760.0
Yarandahalli,3,1350.0,2.0,48.0
Hosa Road,2,1063.0,2.0,32.0
Keshava Nagar,3,1904.0,3.0,150.0
Whitefield,4,4200.0,4.0,420.0
RMV Extension,3,2000.0,3.0,175.0
Sarjapur,2,1242.5,2.0,43.49
Tejaswini Nagar,3,1425.0,2.0,75.0
Electronic City,3,1500.0,2.0,64.5
Electronic City,2,1060.0,2.0,60.0
Jai Bheema Nagar,3,1470.0,2.0,70.0
Kothnur Narayanapura,6,1300.0,6.0,99.0
Attibele,1,450.0,1.0,11.0
Electronic City,2,1152.0,2.0,64.5
Electronic City,3,1350.0,2.0,56.0
CV Raman Nagar,3,1550.0,3.0,65.0
CHIKKATIRUPATHI,3,1500.0,3.0,100.0
Kumaraswami Layout,5,600.0,3.0,85.0
Nagavara,1,400.0,1.0,14.0
Malleshwaram,1,705.0,1.0,67.0
Electronic City,2,770.0,1.0,36.0
Hulimavu,2,1242.0,2.0,51.0
Hebbal Kempapura,3,1700.0,3.0,155.0
Thanisandra,3,2144.0,3.0,145.0
Vijayanagar,3,1704.0,3.0,110.0
Electronic City,2,1070.0,2.0,52.0
8th block Koramangala,3,1846.0,3.0,300.0
Jakkuru Layout,2,1340.0,2.0,55.7
Electronic City,2,1025.0,2.0,46.0
KR Puram,2,1277.5,2.0,56.8
Marathahalli,2,1200.0,2.0,52.0
