location,size,total_sqft,bath,price,price_per_sqft
Electronic City Phase II,2,1056.0,2.0,39.07,3699.810606060606
Chikka Tirupathi,4,2600.0,5.0,120.0,4615.384615384615
Uttarahalli,3,1440.0,2.0,62.0,4305.555555555556
Lingadheeranahalli,3,1521.0,3.0,95.0,6245.890861275477
Kothanur,2,1200.0,2.0,51.0,4250.0
Whitefield,2,1170.0,2.0,38.0,3247.863247863248
Old Airport Road,4,2732.0,4.0,204.0,7467.0571010248905
Rajaji Nagar,4,3300.0,4.0,600.0,18181.81818181818
Marathahalli,3,1310.0,3.0,63.25,4828.244274809161
other,6,1020.0,6.0,370.0,36274.509803921566
Whitefield,3,1800.0,2.0,70.0,3888.8888888888887
Whitefield,4,2785.0,5.0,295.0,10592.45960502693
7th Phase JP Nagar,2,1000.0,2.0,38.0,3800.0
Gottigere,2,1100.0,2.0,40.0,3636.3636363636365
Sarjapur,3,2250.0,3.0,148.0,6577.777777777777
Mysore Road,2,1175.0,2.0,73.5,6255.31914893617
Bisuvanahalli,3,1180.0,3.0,48.0,4067.7966101694915
Raja Rajeshwari Nagar,3,1540.0,3.0,60.0,3896.103896103896
other,3,2770.0,4.0,290.0,10469.314079422382
other,2,1100.0,2.0,48.0,4363.636363636364
Kengeri,1,600.0,1.0,15.0,2500.0
Binny Pete,3,1755.0,3.0,122.0,6951.5669515669515
Thanisandra,4,2800.0,5.0,380.0,13571.42857142857
Bellandur,3,1767.0,3.0,103.0,5829.088851160159
Thanisandra,1,510.0,1.0,25.25,4950.980392156863
other,3,1250.0,3.0,56.0,4480.0
Electronic City,2,660.0,1.0,23.1,3500.0
Whitefield,3,1610.0,3.0,81.0,5031.055900621118
Ramagondanahalli,2,1151.0,2.0,48.77,4237.185056472633
Electronic City,3,1025.0,2.0,47.0,4585.365853658536
Yelahanka,4,2475.0,4.0,186.0,7515.151515151515
Bisuvanahalli,3,1075.0,2.0,35.0,3255.813953488372
Hebbal,3,1760.0,2.0,123.0,6988.636363636364
Raja Rajeshwari Nagar,3,1693.0,3.0,57.39,3389.84051978736
Kasturi Nagar,3,1925.0,3.0,125.0,6493.506493506494
Kanakpura Road,2,700.0,2.0,36.0,5142.857142857143
Electronics City Phase 1,2,1070.0,2.0,45.5,4252.336448598131
Kundalahalli,3,1724.0,3.0,125.0,7250.580046403712
Chikkalasandra,3,1290.0,2.0,56.12,4350.387596899225
Uttarahalli,2,1143.0,2.0,45.0,3937.0078740157483
Murugeshpalya,2,1296.0,2.0,81.0,6250.0
Sarjapur  Road,3,1254.0,3.0,38.0,3030.3030303030305
other,1,600.0,1.0,38.0,6333.333333333333
Yelahanka,1,660.0,1.0,48.0,7272.727272727273
Kanakpura Road,2,1330.74,2.0,91.79,6897.665960292769
HSR Layout,8,600.0,9.0,200.0,33333.333333333336
Doddathoguru,2,970.0,2.0,33.0,3402.061855670103
Whitefield,2,1459.0,2.0,94.82,6498.971898560658
KR Puram,2,800.0,1.0,130.0,16250.0
other,2,869.0,2.0,36.0,4142.692750287687
other,2,1270.0,2.0,50.0,3937.0078740157483
Bhoganhalli,3,1670.0,3.0,99.0,5928.143712574851
Whitefield,3,2010.0,3.0,91.0,4527.363184079602
Lakshminarayana Pura,2,1185.0,2.0,75.0,6329.113924050633
Yelahanka,3,1600.0,2.0,75.0,4687.5
Begur Road,2,1200.0,2.0,44.0,3666.6666666666665
other,2,1500.0,2.0,185.0,12333.333333333334
Murugeshpalya,6,1407.0,4.0,150.0,10660.980810234541
other,2,840.0,2.0,45.0,5357.142857142857
other,3,4395.0,3.0,240.0,5460.750853242321
other,2,845.0,2.0,55.0,6508.87573964497
Whitefield,4,5700.0,5.0,650.0,11403.508771929824
Varthur,2,1160.0,2.0,44.0,3793.103448275862
Bommanahalli,8,3000.0,8.0,140.0,4666.666666666667
Doddathoguru,2,1100.0,2.0,62.0,5636.363636363636
Gunjur,2,1140.0,2.0,43.0,3771.9298245614036
